sid|list|delist|list_entry|delist_entry
000630.SZ|19961120|||
000631.SZ|19961122|||
000632.SZ|19961121|||
000633.SZ|19961112|||
000635.SZ|19961120|||
000636.SZ|19961129|||
000637.SZ|19961114|||
000638.SZ|19961126|||
000639.SZ|19961126|||
000650.SZ|19961210|||
000651.SZ|19961118|||
000652.SZ|19961128|||
000653.SZ|19961126|20020913||
000655.SZ|19961128|||
000656.SZ|19961128|||
000657.SZ|19961205|||
000658.SZ|19961218|20020920||
000659.SZ|19961203|||
000660.SZ|19961209|20040913||
000661.SZ|19961218|||
000662.SZ|19961216|20210412||
000663.SZ|19961206|||
000665.SZ|19961210|||
000666.SZ|19961210|20231026||20231025
000667.SZ|19961205|20230714||20230713
000668.SZ|19961210|||
000669.SZ|19961210|||
000670.SZ|19961217|||
000671.SZ|19961218|20230816||20230815
000672.SZ|19961218|||
000673.SZ|19970124|20220704||20220704
000675.SZ|19961226|20020820||
000676.SZ|19961224|||
000677.SZ|19961226|||
000678.SZ|19970106|||
000679.SZ|19970124|||
000680.SZ|19970122|||
000681.SZ|19970121|||
000682.SZ|19970121|||
000683.SZ|19970131|||
000685.SZ|19970123|||
000686.SZ|19970227|||
000687.SZ|19970221|20220617||20220617
000688.SZ|19970120|||
000689.SZ|19961231|20020905||
000690.SZ|19970128|||
000691.SZ|19970228|||
000692.SZ|19970227|||
000693.SZ|19970226|20190709||
000695.SZ|19970218|||
000697.SZ|19970325|||
000698.SZ|19970220|||
000699.SZ|19970310|20070404||
000700.SZ|19970228|||
000701.SZ|19970226|||
000702.SZ|19970318|||
000703.SZ|19970328|||
000705.SZ|19970410|||
000707.SZ|19970415|||
000708.SZ|19970326|||
000709.SZ|19970416|||
000710.SZ|19970422|||
000711.SZ|19970411|||
000712.SZ|19970415|||
000713.SZ|19970422|||
000715.SZ|19970508|||
000716.SZ|19970418|||
000717.SZ|19970508|||
000718.SZ|19970408|||
000719.SZ|19970331|||
000720.SZ|19970509|||
000721.SZ|19970430|||
